CPLEX 20.1.0.0: time=600
CPLEX 20.1.0.0: optimal integer solution; objective 18
294 MIP simplex iterations
0 branch-and-bound nodes
x [*] :=
  0 0    23 1    46 0    69 0    92 0   115 0   138 0   161 0   184 1   207 0
  1 0    24 0    47 0    70 0    93 0   116 0   139 0   162 0   185 0   208 0
  2 0    25 0    48 0    71 0    94 0   117 0   140 0   163 0   186 0   209 0
  3 0    26 0    49 0    72 0    95 0   118 0   141 0   164 0   187 0   210 0
  4 0    27 0    50 0    73 0    96 0   119 0   142 0   165 0   188 0   211 0
  5 0    28 0    51 0    74 0    97 0   120 0   143 0   166 0   189 1   212 0
  6 0    29 0    52 0    75 0    98 0   121 0   144 0   167 0   190 0   213 0
  7 0    30 0    53 0    76 0    99 0   122 0   145 0   168 0   191 1   214 1
  8 0    31 0    54 0    77 0   100 0   123 0   146 0   169 1   192 0   215 0
  9 0    32 1    55 0    78 0   101 0   124 0   147 0   170 1   193 0   216 0
 10 0    33 0    56 0    79 1   102 0   125 0   148 0   171 0   194 0   217 0
 11 0    34 0    57 0    80 0   103 0   126 0   149 1   172 1   195 0   218 0
 12 0    35 0    58 0    81 0   104 0   127 0   150 0   173 0   196 0   219 0
 13 0    36 0    59 0    82 0   105 0   128 1   151 0   174 0   197 0   220 0
 14 1    37 0    60 0    83 0   106 0   129 0   152 0   175 0   198 0   221 0
 15 0    38 0    61 1    84 0   107 0   130 0   153 0   176 0   199 0   222 0
 16 0    39 0    62 0    85 0   108 0   131 1   154 0   177 0   200 0   223 0
 17 0    40 0    63 0    86 0   109 0   132 0   155 0   178 0   201 0   224 0
 18 0    41 0    64 0    87 0   110 0   133 0   156 0   179 0   202 0   225 0
 19 0    42 0    65 0    88 0   111 0   134 0   157 0   180 0   203 0   226 0
 20 0    43 0    66 1    89 0   112 0   135 0   158 0   181 0   204 0   227 0
 21 0    44 0    67 0    90 1   113 0   136 0   159 0   182 0   205 0   228 0
 22 0    45 0    68 0    91 0   114 0   137 0   160 0   183 0   206 0   229 1
;

