name,result,min k,m (true set),n (number of subsets)
h1,1,2.0,4,5
h2,1,3.0,5,5
h3,1,3.0,5,6
h4,1,4.0,6,6
h5,1,5.0,9,8
r10,1,5.0,16,37
r11,1,6.0,13,30
r12,0,-1.0,220,706
r13,1,16.0,76,197
r14,1,9.0,33,71
r15,1,9.0,33,83
r16,1,3.0,9,18
r17,1,7.0,19,46
r18,1,24.0,170,449
r19,1,18.0,92,242
r1,1,3.0,9,22
r20,1,17.0,92,241
r21,0,-1.0,195,625
r22,0,-1.0,217,657
r23,1,20.0,119,376
r24,1,6.0,18,47
r25,0,-1.0,222,638
r26,0,-1.0,195,502
r27,0,-1.0,216,560
r28,0,-1.0,281,811
r29,1,22.0,149,444
r2,0,-1.0,185,525
r30,1,17.0,85,192
r31,0,-1.0,256,603
r32,1,19.0,129,341
r33,1,19.0,106,314
r34,1,16.0,75,181
r35,1,6.0,17,34
r36,1,12.0,63,169
r37,1,3.0,9,20
r38,1,6.0,17,38
r39,1,4.0,10,18
r3,1,14.0,68,179
r40,0,-1.0,281,926
r41,1,9.0,31,81
r42,0,-1.0,229,660
r43,1,4.0,12,31
r44,1,4.0,12,27
r45,0,-1.0,221,654
r46,1,22.0,162,384
r47,0,-1.0,222,570
r48,1,17.0,101,259
r49,1,4.0,13,36
r4,1,9.0,33,65
r50,1,5.0,17,44
r5,0,-1.0,206,664
r6,1,6.0,18,44
r7,1,18.0,91,230
r8,1,4.0,10,25
r9,1,3.0,10,23
scp41,0,-1.0,200,1000
scp42,0,-1.0,200,1000
scp43,0,-1.0,200,1000
scp44,0,-1.0,200,1000
scp45,0,-1.0,200,1000
scp46,0,-1.0,200,1000
scp47,0,-1.0,200,1000
scp48,0,-1.0,200,1000
scp49,0,-1.0,200,1000
scp51,0,-1.0,200,2000
scp52,0,-1.0,200,2000
scp53,0,-1.0,200,2000
scp54,0,-1.0,200,2000
scp55,0,-1.0,200,2000
scp56,0,-1.0,200,2000
scp57,0,-1.0,200,2000
scp58,0,-1.0,200,2000
scp59,0,-1.0,200,2000
scp61,0,-1.0,200,1000
scp62,0,-1.0,200,1000
scp63,0,-1.0,200,1000
scpa1,0,-1.0,300,3000
scpa2,0,-1.0,300,3000
scpa3,0,-1.0,300,3000
scpa4,0,-1.0,300,3000
scpa5,0,-1.0,300,3000
scpb1,0,-1.0,300,3000
scpb2,0,-1.0,300,3000
scpb3,0,-1.0,300,3000
scpb4,0,-1.0,300,3000
scpb5,0,-1.0,300,3000
scpc1,0,-1.0,400,4000
scpc2,0,-1.0,400,4000
scpc3,0,-1.0,400,4000
scpc4,0,-1.0,400,4000
scpc5,0,-1.0,400,4000
scpd1,0,-1.0,400,4000
scpd2,0,-1.0,400,4000
scpd3,0,-1.0,400,4000
scpd4,0,-1.0,400,4000
scpd5,0,-1.0,400,4000
scpe1,1,5.0,50,500
scpe2,1,5.0,50,500
scpe3,1,5.0,50,500
scpe4,1,5.0,50,500
scpe5,1,5.0,50,500
