CPLEX 20.1.0.0: optimal solution; objective 14.34838844
143 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             50 0            100 0.210196     150 0
  1 0             51 0            101 0            151 0
  2 0.202287      52 0            102 0            152 0
  3 0             53 0            103 0.64268      153 0
  4 0             54 0            104 0            154 0.563557
  5 0             55 0.0915457    105 0            155 0.604896
  6 0             56 0            106 0.195177     156 0
  7 0             57 0            107 0            157 0.515703
  8 0.152277      58 0            108 0            158 0
  9 0             59 0.196636     109 0.0630851    159 0
 10 0             60 0.231624     110 0.135328     160 0
 11 0             61 0            111 0            161 0.111438
 12 0.150792      62 0.172206     112 0            162 0
 13 0             63 0            113 0.368769     163 0.0716347
 14 0.624145      64 0            114 0.053005     164 0
 15 0             65 0.00629176   115 0.204818     165 0.243557
 16 0             66 0            116 0            166 0.351028
 17 0             67 0            117 0            167 0
 18 0             68 0.155858     118 0            168 0
 19 0             69 0            119 0.280017     169 0.0529108
 20 0.14423       70 0.0208649    120 0.19758      170 0
 21 0             71 0            121 0            171 0
 22 0.175579      72 0            122 0.148467     172 0
 23 0.427681      73 0.171534     123 0.685075     173 0.392751
 24 0             74 0            124 0            174 0
 25 0.308633      75 0            125 0            175 0.472019
 26 0             76 0.219348     126 0.104388     176 0
 27 0             77 0            127 0            177 0.180678
 28 0             78 0.365074     128 0            178 0
 29 0.110107      79 0.112403     129 0.30422      179 0
 30 0             80 0            130 0            180 0
 31 0             81 0            131 0            181 0
 32 0             82 0.342117     132 0            182 0
 33 0             83 0            133 0            183 0
 34 0             84 0            134 0.0713681    184 0
 35 0.280203      85 0            135 0            185 0
 36 0.0671863     86 0            136 0            186 0.181227
 37 0             87 0.0440759    137 0            187 0.199928
 38 0.415578      88 0            138 0            188 0.0436916
 39 0             89 0            139 0            189 0
 40 0             90 0            140 0            190 0
 41 0.20355       91 0            141 0            191 0
 42 0             92 0            142 0            192 0
 43 0             93 0            143 0            193 0
 44 0             94 0.433638     144 0.369649     194 0.446593
 45 0             95 0            145 0            195 0
 46 0             96 0            146 0            196 0
 47 0             97 0            147 0.0574896
 48 0             98 0            148 0
 49 0             99 0            149 0
;

