CPLEX 20.1.0.0: optimal solution; objective 18.42838888
353 dual simplex iterations (0 in phase I)
x [*] :=
  0 0            113 0            226 0            339 0.0439082
  1 0            114 0.215628     227 0            340 0
  2 0            115 0            228 0            341 0
  3 0            116 0.0946332    229 0            342 0
  4 0.0145606    117 0            230 0            343 0
  5 0            118 0            231 0            344 0
  6 0            119 0            232 0            345 0
  7 0            120 0            233 0            346 0
  8 0.25597      121 0.018721     234 0            347 0
  9 0            122 0            235 0            348 0
 10 0            123 0            236 0            349 0
 11 0            124 0            237 0.0672769    350 0
 12 0            125 0            238 0            351 0.064715
 13 0            126 0.260973     239 0.0333636    352 0
 14 0.111718     127 0            240 0.0911614    353 0
 15 0.266444     128 0            241 0            354 0.0409532
 16 0            129 0            242 0            355 0.135826
 17 0            130 0            243 0            356 0
 18 0            131 0            244 0            357 0
 19 0.0854442    132 0            245 0.0118922    358 0
 20 0.0133206    133 0            246 0            359 0
 21 0            134 0            247 0.276578     360 0.192884
 22 0            135 0.169593     248 0.198842     361 0
 23 0            136 0            249 0.0984426    362 0
 24 0.093676     137 0            250 0.171154     363 0.0879734
 25 0            138 0            251 0.354049     364 0
 26 0.164546     139 0            252 0            365 0
 27 0            140 0            253 0            366 0
 28 0            141 0            254 0            367 0
 29 0            142 0            255 0            368 0.270484
 30 0.140497     143 0.032571     256 0            369 0
 31 0.334078     144 0            257 0.404192     370 0
 32 0            145 0            258 0            371 0
 33 0            146 0            259 0.113244     372 0
 34 0.159069     147 0            260 0.112037     373 0
 35 0            148 0            261 0.170613     374 0
 36 0.00209411   149 0            262 0.179656     375 0
 37 0.132114     150 0.202768     263 0            376 0
 38 0            151 0.170523     264 0            377 0
 39 0            152 0.0284426    265 0            378 0.115
 40 0            153 0            266 0.311034     379 0
 41 0            154 0            267 0            380 0
 42 0            155 0.186025     268 0            381 0
 43 0            156 0            269 0            382 0
 44 0.17668      157 0.0611248    270 0            383 0
 45 0            158 0            271 0            384 0
 46 0            159 0            272 0            385 0
 47 0            160 0            273 0            386 0.249471
 48 0            161 0            274 0            387 0
 49 0            162 0.269283     275 0.0929085    388 0
 50 0            163 0            276 0            389 0
 51 0            164 0            277 0.0312292    390 0
 52 0.0603302    165 0            278 0            391 0.0524769
 53 0.176494     166 0.0695714    279 0.0712634    392 0
 54 0            167 0            280 0            393 0.0510994
 55 0            168 0            281 0.2581       394 0.0277869
 56 0            169 0.0911757    282 0.172088     395 0
 57 0            170 0.237516     283 0.203109     396 0
 58 0            171 0            284 0.200436     397 0
 59 0.0364115    172 0            285 0            398 0
 60 0            173 0.0489339    286 0            399 0
 61 0.146461     174 0            287 0            400 0
 62 0.129275     175 0            288 0            401 0
 63 0            176 0.120002     289 0            402 0
 64 0.110668     177 0            290 0.0794732    403 0
 65 0            178 0.404944     291 0.131486     404 0
 66 0            179 0.0556806    292 0            405 0
 67 0            180 0            293 0            406 0
 68 0            181 0.212273     294 0            407 0
 69 0.301665     182 0            295 0.252439     408 0.0132503
 70 0.171411     183 0            296 0            409 0
 71 0            184 0            297 0            410 0
 72 0            185 0            298 0            411 0.282873
 73 0            186 0.423913     299 0            412 0
 74 0            187 0            300 0            413 0.00918421
 75 0            188 0            301 0            414 0
 76 0            189 0            302 0.0584209    415 0.395435
 77 0            190 0.0272764    303 0.178621     416 0.156893
 78 0            191 0            304 0            417 0.395921
 79 0.174205     192 0            305 0            418 0
 80 0            193 0            306 0            419 0
 81 0            194 0.0668878    307 0            420 0.0267844
 82 0            195 0.284661     308 0.160003     421 0
 83 0            196 0            309 0            422 0
 84 0            197 0.0822367    310 0            423 0
 85 0            198 0            311 0            424 0
 86 0            199 0            312 0.184956     425 0.342455
 87 0            200 0            313 0            426 0
 88 0            201 0            314 0            427 0
 89 0.0505512    202 0            315 0            428 0
 90 0            203 0.144884     316 0            429 0.293215
 91 0            204 0            317 0.142647     430 0.229191
 92 0            205 0            318 0            431 0
 93 0.324875     206 0            319 0            432 0
 94 0            207 0            320 0            433 0
 95 0            208 0.099143     321 0.322732     434 0
 96 0.141325     209 0.119562     322 0.033225     435 0
 97 0            210 0            323 0.415459     436 0
 98 0            211 0            324 0            437 0.00845398
 99 0            212 0            325 0            438 0
100 0            213 0            326 0            439 0
101 0            214 0.0552099    327 0            440 0
102 0.165661     215 0            328 0.125983     441 0
103 0            216 0            329 0            442 0
104 0            217 0            330 0            443 0
105 0            218 0            331 0            444 0
106 0.00982254   219 0            332 0            445 0
107 0            220 0.179525     333 0            446 0
108 0            221 0            334 0            447 0.326518
109 0            222 0.0192047    335 0            448 0
110 0.377307     223 0            336 0
111 0            224 0            337 0
112 0.127963     225 0            338 0
;

