CPLEX 20.1.0.0: optimal solution; objective 15.28146983
163 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             61 0.254123     122 0.108851     183 0
  1 0             62 0.151042     123 0            184 0
  2 0             63 0            124 0.299113     185 0.148919
  3 0             64 0            125 0            186 0.150625
  4 0             65 0.31862      126 0            187 0
  5 0             66 0            127 0.184393     188 0
  6 0.082226      67 0            128 0            189 0.108408
  7 0             68 0            129 0            190 0
  8 0             69 0.00644306   130 0            191 0.196045
  9 0             70 0            131 0            192 0
 10 0             71 0.0526327    132 0            193 0
 11 0.528079      72 0.351184     133 0            194 0.0322627
 12 0             73 0.224772     134 0.0137489    195 0
 13 0             74 0.313103     135 0            196 0
 14 0             75 0.26018      136 0            197 0
 15 0             76 0            137 0.19574      198 0
 16 0             77 0            138 0            199 0
 17 0             78 0            139 0.589971     200 0
 18 0.27176       79 0            140 0            201 0
 19 0             80 0            141 0            202 0
 20 0             81 0            142 0            203 0
 21 0.497909      82 0.284036     143 0.204106     204 0
 22 0             83 0            144 0            205 0.237618
 23 0             84 0            145 0            206 0
 24 0.198574      85 0            146 0            207 0
 25 0             86 0            147 0            208 0
 26 0             87 0.240448     148 0            209 0.138577
 27 0.0627333     88 0            149 0.0131259    210 0
 28 0             89 0            150 0.664282     211 0.0268756
 29 0             90 0.35316      151 0            212 0.161305
 30 0             91 0            152 0.38666      213 0
 31 0             92 0.0623359    153 0            214 0
 32 0             93 0            154 0            215 0
 33 0             94 0            155 0.0625357    216 0
 34 0             95 0.036221     156 0            217 0
 35 0             96 0            157 0            218 0.0639575
 36 0             97 0            158 0            219 0
 37 0             98 0            159 0.229869     220 0
 38 0             99 0            160 0.0937065    221 0.500104
 39 0.417005     100 0            161 0            222 0
 40 0            101 0.250444     162 0.478122     223 0
 41 0.0685295    102 0            163 0.100338     224 0
 42 0            103 0            164 0            225 0.132743
 43 0.0619903    104 0.127752     165 0            226 0
 44 0.16377      105 0.0808396    166 0            227 0.0231548
 45 0            106 0            167 0            228 0
 46 0.271621     107 0.0909699    168 0.0338422    229 0.159534
 47 0.561485     108 0            169 0.419224     230 0
 48 0            109 0            170 0.126694     231 0
 49 0            110 0            171 0            232 0
 50 0            111 0            172 0            233 0
 51 0            112 0.240625     173 0            234 0.262156
 52 0            113 0            174 0            235 0
 53 0.202484     114 0.183922     175 0            236 0
 54 0.316539     115 0.0201204    176 0.196174     237 0
 55 0.0394277    116 0            177 0            238 0
 56 0            117 0            178 0.4176       239 0
 57 0            118 0            179 0            240 0
 58 0            119 0.473983     180 0            241 0
 59 0            120 0            181 0
 60 0            121 0            182 0
;

