CPLEX 20.1.0.0: optimal solution; objective 14.87654492
173 dual simplex iterations (0 in phase I)
x [*] :=
  0 0.0449411     61 0.220452     122 0            183 0.357939
  1 0             62 0            123 0            184 0
  2 0.139594      63 0            124 0            185 0
  3 0             64 0.656039     125 0            186 0
  4 0             65 0.243148     126 0            187 0
  5 0             66 0            127 0            188 0.0698423
  6 0.293621      67 0.19445      128 0            189 0
  7 0             68 0            129 0            190 0.168622
  8 0             69 0.0948478    130 0            191 0
  9 0             70 0            131 0            192 0.280379
 10 0             71 0.479428     132 0            193 0.233538
 11 0             72 0.311848     133 0            194 0.539382
 12 0             73 0.129024     134 0.00545748   195 0
 13 0.15002       74 0            135 0            196 0
 14 0             75 0.0663776    136 0            197 0
 15 0.0744425     76 0            137 0.0617137    198 0
 16 0             77 0            138 0            199 0
 17 0.0938219     78 0.120413     139 0            200 0
 18 0             79 0.320917     140 0.0025523    201 0
 19 0             80 0            141 0            202 0
 20 0             81 0.0524596    142 0            203 0
 21 0.121655      82 0            143 0            204 0
 22 0.284429      83 0.171995     144 0.124777     205 0.0244983
 23 0             84 0            145 0.326622     206 0
 24 0             85 0            146 0.0724273    207 0.232631
 25 0             86 0            147 0            208 0.193288
 26 0             87 0            148 0            209 0
 27 0             88 0            149 0            210 0
 28 0.334081      89 0            150 0            211 0
 29 0             90 0            151 0.0475948    212 0
 30 0             91 0            152 0            213 0
 31 0.264583      92 0            153 0            214 0
 32 0             93 0            154 0.0603697    215 0
 33 0.450151      94 0            155 0.21282      216 0
 34 0.100056      95 0            156 0            217 0.194607
 35 0             96 0            157 0            218 0
 36 0             97 0            158 0.117362     219 0
 37 0             98 0            159 0            220 0
 38 0             99 0            160 0.246803     221 0
 39 0.277584     100 0            161 0.207404     222 0
 40 0            101 0            162 0            223 0
 41 0.00156358   102 0            163 0            224 0
 42 0            103 0            164 0.261136     225 0
 43 0            104 0.110914     165 0.0890325    226 0
 44 0            105 0            166 0            227 0
 45 0            106 0            167 0            228 0
 46 0            107 0.691264     168 0.220674     229 0
 47 0            108 0.259638     169 0            230 0
 48 0.308389     109 0            170 0            231 0.455933
 49 0            110 0.00334454   171 0.2568       232 0
 50 0            111 0.0283573    172 0            233 0
 51 0            112 0.112496     173 0.644017     234 0.497005
 52 0            113 0.131409     174 0            235 0
 53 0            114 0            175 0            236 0.341409
 54 0.0736267    115 0            176 0.0261701    237 0
 55 0            116 0            177 0            238 0
 56 0.433153     117 0            178 0            239 0.459207
 57 0            118 0            179 0            240 0
 58 0            119 0            180 0
 59 0            120 0            181 0
 60 0            121 0            182 0
;

