CPLEX 20.1.0.0: optimal solution; objective 16.23275893
239 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             94 0.181196     188 0            282 0
  1 0             95 0            189 0.0387593    283 0
  2 0             96 0            190 0            284 0
  3 0             97 0            191 0.0485137    285 0
  4 0             98 0            192 0.0122508    286 0
  5 0             99 0.145592     193 0            287 0
  6 0.213386     100 0            194 0            288 0
  7 0            101 0            195 0            289 0
  8 0            102 0            196 0            290 0
  9 0.0925564    103 0            197 0            291 0
 10 0            104 0            198 0            292 0
 11 0.0685525    105 0            199 0.15625      293 0
 12 0            106 0.0180663    200 0.264474     294 0.215281
 13 0.103014     107 0            201 0            295 0
 14 0.298559     108 0.32196      202 0.375279     296 0
 15 0.268859     109 0            203 0            297 0
 16 0            110 0.20013      204 0            298 0
 17 0            111 0            205 0.323014     299 0
 18 0            112 0            206 0.208029     300 0
 19 0            113 0            207 0            301 0
 20 0            114 0            208 0            302 0
 21 0            115 0            209 0            303 0.097342
 22 0            116 0            210 0.178223     304 0
 23 0            117 0.139223     211 0.00920404   305 0
 24 0            118 0            212 0            306 0
 25 0.0708964    119 0.155184     213 0            307 0.241946
 26 0            120 0.15031      214 0            308 0
 27 0            121 0            215 0            309 0.198539
 28 0            122 0            216 0            310 0
 29 0.246214     123 0            217 0            311 0
 30 0            124 0            218 0.216002     312 0
 31 0            125 0            219 0.181761     313 0
 32 0.219105     126 0            220 0            314 0
 33 0            127 0.280691     221 0            315 0
 34 0            128 0            222 0.259932     316 0.0676817
 35 0            129 0            223 0            317 0
 36 0            130 0            224 0            318 0.239887
 37 0.0323126    131 0            225 0            319 0
 38 0.0457075    132 0            226 0            320 0
 39 0            133 0.0576891    227 0.130844     321 0
 40 0            134 0            228 0            322 0
 41 0            135 0            229 0            323 0
 42 0            136 0            230 0            324 0
 43 0            137 0            231 0.00728471   325 0
 44 0            138 0            232 0            326 0
 45 0            139 0.144189     233 0            327 0
 46 0.0142356    140 0            234 0            328 0
 47 0            141 0.237871     235 0            329 0
 48 0.515916     142 0            236 0.0326062    330 0
 49 0            143 0            237 0.171976     331 0
 50 0            144 0            238 0            332 0.316281
 51 0            145 0            239 0            333 0
 52 0.0919876    146 0            240 0.17925      334 0
 53 0            147 0.0244122    241 0            335 0.0349237
 54 0            148 0            242 0            336 0
 55 0            149 0            243 0.129548     337 0
 56 0            150 0            244 0            338 0
 57 0            151 0            245 0            339 0
 58 0            152 0            246 0.0182356    340 0
 59 0            153 0            247 0            341 0
 60 0            154 0            248 0.327596     342 0
 61 0.127877     155 0.0295396    249 0.0413072    343 0
 62 0            156 0            250 0            344 0
 63 0            157 0.259209     251 0            345 0.352163
 64 0.438013     158 0.0403285    252 0.00415094   346 0.0985161
 65 0            159 0.270191     253 0            347 0.331129
 66 0            160 0            254 0.491258     348 0.0986179
 67 0            161 0.231241     255 0            349 0
 68 0            162 0            256 0            350 0
 69 0            163 0.309849     257 0            351 0.146872
 70 0            164 0.45018      258 0            352 0
 71 0            165 0            259 0.0458549    353 0
 72 0            166 0            260 0            354 0
 73 0            167 0.272482     261 0            355 0
 74 0            168 0.377647     262 0            356 0
 75 0            169 0            263 0.235004     357 0
 76 0            170 0.151659     264 0.505509     358 0
 77 0            171 0            265 0            359 0
 78 0            172 0            266 0.0337665    360 0.174058
 79 0.162153     173 0.257919     267 0            361 0
 80 0            174 0            268 0            362 0
 81 0.101711     175 0.206733     269 0            363 0
 82 0            176 0            270 0            364 0
 83 0            177 0            271 0.116624     365 0
 84 0            178 0            272 0.365732     366 0
 85 0.117998     179 0.246957     273 0            367 0
 86 0            180 0            274 0            368 0
 87 0            181 0            275 0            369 0.0493831
 88 0.0055248    182 0            276 0            370 0
 89 0            183 0            277 0            371 0
 90 0            184 0            278 0            372 0
 91 0            185 0            279 0            373 0
 92 0            186 0            280 0.0668722    374 0
 93 0            187 0            281 0            375 0
;

