CPLEX 20.1.0.0: optimal solution; objective 17.712526
335 dual simplex iterations (0 in phase I)
x [*] :=
  0 0.146774     111 0            222 0            333 0
  1 0            112 0.137137     223 0            334 0.286618
  2 0            113 0            224 0            335 0
  3 0            114 0            225 0            336 0
  4 0            115 0            226 0            337 0
  5 0            116 0.042248     227 0            338 0
  6 0            117 0            228 0.00992018   339 0.0296858
  7 0            118 0            229 0            340 0
  8 0            119 0.207314     230 0            341 0
  9 0.0241619    120 0.266381     231 0            342 0.148748
 10 0            121 0            232 0            343 0
 11 0            122 0.00746934   233 0            344 0
 12 0            123 0            234 0            345 0
 13 0.073594     124 0            235 0.139734     346 0.0821982
 14 0            125 0            236 0            347 0
 15 0            126 0.129874     237 0.102089     348 0
 16 0            127 0            238 0.1375       349 0
 17 0            128 0            239 0.298274     350 0
 18 0            129 0            240 0            351 0
 19 0            130 0            241 0.0782565    352 0.0177862
 20 0.319631     131 0            242 0            353 0
 21 0.1201       132 0.155508     243 0            354 0.0481253
 22 0            133 0            244 0            355 0
 23 0            134 0            245 0            356 0
 24 0.17777      135 0            246 0            357 0.417963
 25 0            136 0.0883858    247 0.103217     358 0
 26 0            137 0.150519     248 0            359 0
 27 0            138 0            249 0.345569     360 0
 28 0.206783     139 0            250 0            361 0
 29 0            140 0            251 0            362 0.0481102
 30 0.17801      141 0            252 0            363 0.212097
 31 0            142 0            253 0            364 0.361074
 32 0            143 0            254 0            365 0
 33 0            144 0.190392     255 0            366 0
 34 0.0618582    145 0            256 0.259874     367 0
 35 0.0374788    146 0            257 0            368 0
 36 0            147 0.00871674   258 0            369 0
 37 0.227799     148 0            259 0            370 0
 38 0.151282     149 0            260 0            371 0
 39 0.237104     150 0            261 0            372 0
 40 0.43761      151 0            262 0            373 0
 41 0            152 0.209456     263 0            374 0.00778202
 42 0.151972     153 0            264 0            375 0
 43 0.268523     154 0            265 0            376 0
 44 0            155 0            266 0            377 0
 45 0            156 0.373912     267 0            378 0
 46 0.254939     157 0.315871     268 0.0521839    379 0
 47 0            158 0            269 0            380 0
 48 0            159 0            270 0            381 0
 49 0.0679981    160 0.0550233    271 0.110456     382 0
 50 0            161 0            272 0.300455     383 0
 51 0            162 0            273 0            384 0
 52 0.361071     163 0            274 0            385 0
 53 0.32181      164 0            275 0            386 0
 54 0.286562     165 0.24673      276 0            387 0
 55 0.138466     166 0            277 0            388 0
 56 0            167 0.146933     278 0            389 0.127107
 57 0            168 0            279 0            390 0
 58 0            169 0            280 0            391 0.0250222
 59 0            170 0            281 0            392 0
 60 0            171 0            282 0            393 0
 61 0            172 0            283 0            394 0
 62 0.115964     173 0.231302     284 0            395 0
 63 0            174 0            285 0            396 0
 64 0            175 0.426118     286 0            397 0.233557
 65 0            176 0            287 0            398 0
 66 0            177 0            288 0.138122     399 0
 67 0            178 0            289 0            400 0.0177977
 68 0            179 0            290 0            401 0
 69 0            180 0            291 0            402 0
 70 0            181 0            292 0.081225     403 0.154957
 71 0            182 0.128562     293 0            404 0.337466
 72 0            183 0            294 0            405 0
 73 0            184 0            295 0            406 0
 74 0.0143803    185 0            296 0            407 0
 75 0.020194     186 0            297 0            408 0
 76 0            187 0            298 0.24881      409 0
 77 0            188 0            299 0            410 0
 78 0            189 0            300 0            411 0.00967843
 79 0.403089     190 0            301 0.142755     412 0.0262695
 80 0            191 0            302 0            413 0
 81 0.0402665    192 0            303 0.0693275    414 0
 82 0            193 0            304 0            415 0
 83 0            194 0.100965     305 0            416 0.0533351
 84 0            195 0            306 0            417 0
 85 0.166489     196 0.152619     307 0            418 0
 86 0.34278      197 0            308 0.213965     419 0
 87 0            198 0            309 0.0035951    420 0.222572
 88 0.0995414    199 0            310 0            421 0.161735
 89 0            200 0.101884     311 0            422 0
 90 0            201 0            312 0            423 0
 91 0.171735     202 0            313 0            424 0
 92 0.152622     203 0.00113012   314 0            425 0
 93 0            204 0            315 0.159173     426 0
 94 0            205 0            316 0            427 0
 95 0            206 0            317 0            428 0
 96 0            207 0            318 0            429 0.259069
 97 0            208 0            319 0            430 0
 98 0.164454     209 0            320 0            431 0
 99 0            210 0.187917     321 0            432 0
100 0            211 0            322 0            433 0
101 0            212 0            323 0.0607449    434 0.100728
102 0.0841092    213 0.253789     324 0            435 0
103 0            214 0            325 0            436 0.30234
104 0            215 0            326 0            437 0
105 0            216 0.227599     327 0            438 0
106 0.296779     217 0            328 0            439 0
107 0            218 0            329 0.0213728    440 0
108 0            219 0            330 0            441 0
109 0.0766284    220 0            331 0            442 0
110 0            221 0            332 0            443 0
;

