CPLEX 20.1.0.0: optimal solution; objective 14.55750034
161 dual simplex iterations (0 in phase I)
x [*] :=
  0 0              48 0              96 0             144 0
  1 0              49 0              97 0.0474566     145 0.203054
  2 0.188985       50 0.261628       98 0.19292       146 0
  3 0              51 0              99 0             147 0
  4 0              52 0.275559      100 0.157126      148 0.454201
  5 0              53 0             101 0             149 0
  6 0              54 0             102 0.205321      150 0
  7 0              55 0.151474      103 0.261442      151 0.0821743
  8 0              56 0.0489318     104 0.186951      152 0
  9 0              57 0.241838      105 0             153 0
 10 0              58 0.155304      106 0             154 0.294794
 11 0              59 0             107 0             155 0
 12 0.0271665      60 0             108 0             156 0.000354986
 13 0              61 0             109 0             157 0
 14 0              62 0             110 0             158 0
 15 0              63 0             111 0             159 0.390494
 16 0              64 0             112 0             160 0.0490652
 17 0              65 0             113 0.0629972     161 0
 18 0.375031       66 0             114 0             162 0.447027
 19 0              67 0             115 0             163 0.516688
 20 0              68 0             116 0             164 0.420282
 21 0              69 0             117 0             165 0.148414
 22 0              70 0.130975      118 0             166 0
 23 0.277879       71 0             119 0             167 0
 24 0              72 0             120 0             168 0.119346
 25 0              73 0             121 0             169 0
 26 0.10892        74 0.259626      122 0             170 0.135757
 27 0              75 0.231796      123 0             171 0
 28 0              76 0             124 0             172 0
 29 0.675509       77 0             125 0             173 0.22406
 30 0.457924       78 0.136623      126 0             174 0
 31 0              79 0             127 0.100961      175 0.0369964
 32 0              80 0             128 0             176 0.314901
 33 0              81 0             129 0.259252      177 0
 34 0              82 0             130 0.132953      178 0
 35 0              83 0.0198814     131 0             179 0
 36 0              84 0             132 0.263189      180 0.238842
 37 0              85 0.472883      133 0.54912       181 0
 38 0              86 0             134 0             182 0.0228025
 39 0.280634       87 0.121082      135 0.470799      183 0.248714
 40 0              88 0.349919      136 0             184 0
 41 0              89 0.0769266     137 0             185 0
 42 0.116845       90 0             138 0             186 0.098379
 43 0              91 0.372203      139 0             187 0
 44 0.22682        92 0.146667      140 0             188 0
 45 0              93 0             141 0.394164      189 0.251516
 46 0              94 0.38045       142 0             190 0
 47 0              95 0             143 0.00550691    191 0
;

