CPLEX 20.1.0.0: optimal solution; objective 15.78557758
252 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             86 0            172 0            258 0
  1 0             87 0            173 0            259 0
  2 0             88 0            174 0            260 0
  3 0             89 0.0985584    175 0            261 0.320314
  4 0             90 0            176 0            262 0.00267242
  5 0.10156       91 0            177 0            263 0
  6 0.0473807     92 0            178 0            264 0
  7 0             93 0            179 0            265 0
  8 0.19991       94 0            180 0.199232     266 0
  9 0             95 0.130063     181 0            267 0
 10 0             96 0            182 0.223087     268 0.0714234
 11 0.178698      97 0.063112     183 0            269 0
 12 0             98 0            184 0            270 0.072054
 13 0             99 0            185 0            271 0
 14 0            100 0            186 0            272 0
 15 0.0503313    101 0            187 0.178892     273 0
 16 0            102 0            188 0.128065     274 0
 17 0.161809     103 0            189 0            275 0.200611
 18 0            104 0            190 0            276 0
 19 0            105 0            191 0.0779432    277 0
 20 0            106 0.0521695    192 0            278 0
 21 0            107 0            193 0            279 0.155699
 22 0            108 0            194 0            280 0
 23 0            109 0            195 0            281 0
 24 0.175974     110 0            196 0.371138     282 0.146789
 25 0            111 0            197 0            283 0
 26 0            112 0.280347     198 0            284 0
 27 0            113 0            199 0            285 0
 28 0.0269387    114 0.213462     200 0            286 0
 29 0            115 0            201 0.0658672    287 0
 30 0            116 0            202 0            288 0
 31 0.0994038    117 0            203 0            289 0.0135769
 32 0.0917273    118 0            204 0.173556     290 0
 33 0.215428     119 0.199026     205 0.0217814    291 0.23594
 34 0.0574425    120 0            206 0            292 0.0196313
 35 0            121 0            207 0            293 0
 36 0            122 0            208 0            294 0
 37 0            123 0            209 0            295 0.0504353
 38 0.193806     124 0            210 0            296 0.405612
 39 0.14959      125 0            211 0            297 0
 40 0            126 0.171754     212 0            298 0
 41 0            127 0            213 0            299 0
 42 0            128 0            214 0.0956647    300 0
 43 0            129 0            215 0            301 0.0710606
 44 0            130 0            216 0            302 0.0919226
 45 0            131 0.146229     217 0            303 0
 46 0.312789     132 0            218 0            304 0.0394133
 47 0.302488     133 0            219 0            305 0
 48 0            134 0.34036      220 0            306 0
 49 0            135 0.0902182    221 0            307 0
 50 0.496977     136 0.330179     222 0            308 0.411007
 51 0.474425     137 0            223 0.164591     309 0
 52 0            138 0            224 0            310 0
 53 0            139 0            225 0            311 0
 54 0.17512      140 0            226 0            312 0.394655
 55 0            141 0            227 0            313 0.313852
 56 0            142 0            228 0            314 0
 57 0.117896     143 0.0924669    229 0            315 0
 58 0            144 0            230 0            316 0.384935
 59 0            145 0            231 0.201917     317 0
 60 0            146 0            232 0            318 0.181279
 61 0            147 0.372357     233 0            319 0
 62 0            148 0.252397     234 0            320 0
 63 0            149 0            235 0            321 0.164342
 64 0            150 0            236 0            322 0.506363
 65 0.0560459    151 0            237 0.208482     323 0
 66 0.0356269    152 0            238 0            324 0
 67 0            153 0            239 0.00642909   325 0
 68 0            154 0            240 0            326 0
 69 0            155 0            241 0.219537     327 0.0625144
 70 0.373156     156 0            242 0            328 0
 71 0            157 0            243 0            329 0
 72 0            158 0            244 0            330 0.178786
 73 0            159 0            245 0            331 0
 74 0            160 0            246 0            332 0
 75 0            161 0.0533843    247 0            333 0
 76 0            162 0            248 0.257539     334 0.0983075
 77 0            163 0.112937     249 0.173497     335 0
 78 0.371323     164 0            250 0            336 0
 79 0.174477     165 0.06965      251 0            337 0
 80 0.298169     166 0            252 0            338 0.0141934
 81 0.0293392    167 0            253 0.0422328    339 0
 82 0            168 0            254 0            340 0
 83 0            169 0            255 0
 84 0.197494     170 0.134741     256 0
 85 0            171 0            257 0
;

