CPLEX 20.1.0.0: optimal solution; objective 15.86917163
226 dual simplex iterations (0 in phase I)
x [*] :=
  0 0            63 0.132374    126 0.167771    189 0           252 0.150106
  1 0.479304     64 0           127 0           190 0           253 0
  2 0            65 0           128 0           191 0           254 0.0220832
  3 0            66 0           129 0.228791    192 0           255 0
  4 0            67 0           130 0           193 0           256 0
  5 0            68 0           131 0           194 0           257 0
  6 0            69 0           132 0.480093    195 0           258 0
  7 0            70 0           133 0           196 0           259 0
  8 0            71 0           134 0           197 0           260 0
  9 0            72 0           135 0.221757    198 0           261 0
 10 0            73 0           136 0           199 0           262 0
 11 0            74 0.25795     137 0           200 0           263 0
 12 0            75 0           138 0           201 0           264 0
 13 0            76 0.200555    139 0           202 0           265 0
 14 0            77 0           140 0           203 0           266 0
 15 0            78 0           141 0.140368    204 0           267 0
 16 0            79 0.222403    142 0           205 0           268 0
 17 0            80 0           143 0.350875    206 0           269 0
 18 0.315543     81 0           144 0.203624    207 0.311666    270 0.250183
 19 0.16542      82 0           145 0           208 0           271 0
 20 0            83 0.109122    146 0           209 0           272 0
 21 0            84 0           147 0           210 0           273 0.11367
 22 0            85 0           148 0.107906    211 0           274 0.360337
 23 0            86 0.460304    149 0.171991    212 0           275 0
 24 0            87 0           150 0           213 0           276 0
 25 0            88 0.114632    151 0           214 0.0136955   277 0
 26 0.0293623    89 0           152 0           215 0           278 0
 27 0.323547     90 0           153 0           216 0           279 0
 28 0.202292     91 0           154 0.331799    217 0           280 0.169822
 29 0            92 0           155 0.457443    218 0           281 0
 30 0            93 0           156 0           219 0.156772    282 0.131512
 31 0.0698032    94 0           157 0           220 0.347519    283 0
 32 0            95 0           158 0           221 0           284 0
 33 0.405954     96 0.257365    159 0.155087    222 0.247107    285 0
 34 0            97 0.0471253   160 0.182564    223 0           286 0
 35 0            98 0.0285888   161 0           224 0.13038     287 0
 36 0            99 0           162 0.0577056   225 0           288 0.264611
 37 0           100 0           163 0.261726    226 0           289 0.0562482
 38 0           101 0.242826    164 0           227 0.378555    290 0.187533
 39 0           102 0           165 0           228 0           291 0.256824
 40 0           103 0           166 0.067483    229 0           292 0
 41 0.0299557   104 0           167 0.0915684   230 0           293 0
 42 0           105 0           168 0           231 0.0254238   294 0
 43 0           106 0           169 0           232 0.169033    295 0
 44 0           107 0.288738    170 0.483448    233 0           296 0.10366
 45 0           108 0           171 0.322095    234 0           297 0
 46 0           109 0.122341    172 0           235 0           298 0.184307
 47 0           110 0           173 0           236 0.230415    299 0.240203
 48 0           111 0           174 0           237 0           300 0
 49 0.0410281   112 0           175 0           238 0           301 0
 50 0           113 0           176 0           239 0           302 0
 51 0           114 0           177 0           240 0           303 0
 52 0           115 0.316891    178 0           241 0.0123981   304 0
 53 0           116 0           179 0.280075    242 0           305 0
 54 0           117 0           180 0           243 0.169417    306 0
 55 0           118 0           181 0           244 0           307 0
 56 0           119 0           182 0           245 0.25297     308 0
 57 0           120 0           183 0           246 0           309 0
 58 0           121 0           184 0           247 0.180145    310 0.113767
 59 0           122 0           185 0           248 0           311 0
 60 0           123 0           186 0           249 0           312 0.132113
 61 0.104893    124 0           187 0           250 0           313 0
 62 0.254304    125 0           188 0           251 0.519907
;

