CPLEX 20.1.0.0: optimal solution; objective 10.83516952
139 dual simplex iterations (0 in phase I)
x [*] :=
  0 0.0604165     43 0             86 0.461724     129 0
  1 0             44 0             87 0            130 0
  2 0             45 0             88 0.160139     131 0
  3 0             46 0             89 0            132 0.10349
  4 0             47 0             90 0.577582     133 0
  5 0.0287156     48 0             91 0            134 0.123605
  6 0             49 0             92 0            135 0
  7 0             50 0.0354681     93 0            136 0.198593
  8 0             51 0             94 0            137 0
  9 0             52 0             95 0            138 0
 10 0             53 0             96 0.143436     139 0
 11 0             54 0             97 0            140 0
 12 0             55 0             98 0            141 0.00682351
 13 0             56 0             99 0            142 0
 14 0             57 0.574739     100 0.592508     143 0
 15 0.319568      58 0            101 0.0155661    144 0
 16 0             59 0.576942     102 0            145 0.107257
 17 0             60 0            103 0            146 0.0931125
 18 0             61 0            104 0            147 0
 19 0             62 0            105 0.012723     148 0.223825
 20 0             63 0.438979     106 0.18587      149 0
 21 0             64 0            107 0            150 0.262847
 22 0.103206      65 0            108 0            151 0
 23 0.128083      66 0            109 0            152 0.352406
 24 0             67 0.298813     110 0.0948184    153 0.465278
 25 0             68 0            111 0            154 0.0963821
 26 0.272941      69 0            112 0            155 0
 27 0.0507499     70 0            113 0            156 0.183666
 28 0             71 0            114 0.168527     157 0
 29 0             72 0.0788258    115 0            158 0
 30 0.314379      73 0            116 0            159 0.0270808
 31 0             74 0.241453     117 0            160 0
 32 0             75 0            118 0            161 0
 33 0             76 0            119 0            162 0
 34 0.0201862     77 0            120 0            163 0.0557254
 35 0             78 0            121 0            164 0
 36 0             79 0.504798     122 0            165 0.459734
 37 0.321771      80 0            123 0.434786     166 0
 38 0             81 0            124 0            167 0.417585
 39 0.18587       82 0            125 0            168 0
 40 0.203639      83 0            126 0
 41 0.0505366     84 0            127 0
 42 0             85 0            128 0
;

