CPLEX 20.1.0.0: optimal solution; objective 12.96962571
103 dual simplex iterations (0 in phase I)
x [*] :=
  0 0             45 0.354497      90 0            135 0
  1 0             46 0.0386047     91 0            136 0
  2 0             47 0             92 0            137 0
  3 0             48 0             93 0            138 0
  4 0.148344      49 0.0934744     94 0            139 0
  5 0             50 0             95 0            140 0
  6 0             51 0             96 0            141 0
  7 0             52 0             97 0            142 0
  8 0             53 0             98 0            143 0.281991
  9 0.199686      54 0             99 0            144 0
 10 0             55 0            100 0            145 0
 11 0             56 0.632765     101 0            146 0.0127376
 12 0.00293945    57 0            102 0            147 0
 13 0             58 0            103 0            148 0.356261
 14 0             59 0            104 0            149 0
 15 0             60 0            105 0.305703     150 0
 16 0             61 0.809328     106 0.763081     151 0
 17 0             62 0            107 0.162062     152 0
 18 0             63 0            108 0            153 0
 19 0             64 0.148932     109 0            154 0
 20 0.190672      65 0            110 0.479718     155 0.18107
 21 0             66 0.205173     111 0            156 0.255536
 22 0.197139      67 0            112 0.102489     157 0
 23 0             68 0            113 0            158 0.164021
 24 0.00725064    69 0            114 0            159 0
 25 0.420145      70 0.378209     115 0            160 0
 26 0.621791      71 0.154811     116 0.00470312   161 0.19028
 27 0             72 0.164021     117 0            162 0
 28 0             73 0            118 0            163 0
 29 0             74 0            119 0            164 0.45777
 30 0             75 0            120 0.413286     165 0
 31 0             76 0.0458554    121 0.387027     166 0
 32 0             77 0            122 0            167 0
 33 0             78 0            123 0            168 0
 34 0             79 0.152655     124 0            169 0.19028
 35 0.415834      80 0            125 0            170 0
 36 0             81 0.21458      126 0.229669     171 0
 37 0             82 0            127 0            172 0
 38 0             83 0            128 0.0681952    173 0
 39 0             84 0.837938     129 0            174 0
 40 0             85 0            130 0.149912     175 0
 41 0.199295      86 0            131 0.191064     176 0
 42 0.0834803     87 0            132 0.273761     177 0.357829
 43 0.273761      88 0            133 0            178 0
 44 0             89 0            134 0
;

