CPLEX 20.1.0.0: optimal solution; objective 18.02095406
335 dual simplex iterations (0 in phase I)
x [*] :=
  0 0.110681       96 0             192 0.20407       288 0
  1 0.0622501      97 0.0281028     193 0.34027       289 0
  2 0              98 0             194 0.0245766     290 0
  3 0.127409       99 0             195 0.243163      291 0
  4 0             100 0             196 0.14829       292 0
  5 0.202036      101 0             197 0             293 0.220866
  6 0             102 0             198 0.175243      294 0
  7 0.0113443     103 0             199 0             295 0.187519
  8 0             104 0             200 0             296 0
  9 0.0530812     105 0             201 0             297 0
 10 0             106 0             202 0.204563      298 0.0163779
 11 0             107 0             203 0.0297905     299 0
 12 0             108 0.0548087     204 0             300 0
 13 0             109 0.152629      205 0.0348705     301 0
 14 0             110 0             206 0             302 0
 15 0             111 0             207 0.000957592   303 0
 16 0.0307585     112 0             208 0             304 0
 17 0             113 0.198986      209 0             305 0
 18 0             114 0             210 0             306 0
 19 0             115 0             211 0             307 0
 20 0             116 0             212 0             308 0.172799
 21 0.0254569     117 0.151724      213 0             309 0
 22 0             118 0             214 0             310 0
 23 0             119 0             215 0             311 0
 24 0             120 0.141802      216 0             312 0.2082
 25 0.106056      121 0             217 0             313 0.302355
 26 0             122 0             218 0             314 0
 27 0             123 0             219 0             315 0
 28 0             124 0             220 0.0021457     316 0.000476047
 29 0             125 0.226724      221 0.0183182     317 0
 30 0.357767      126 0             222 0             318 0
 31 0             127 0.144572      223 0             319 0.119301
 32 0.100628      128 0.332585      224 0             320 0.41623
 33 0             129 0.0815286     225 0             321 0
 34 0             130 0             226 0             322 0
 35 0             131 0             227 0             323 0
 36 0             132 0.251932      228 0             324 0
 37 0.136051      133 0.107355      229 0             325 0
 38 0             134 0             230 0             326 0.313591
 39 0             135 0.140588      231 0             327 0
 40 0             136 0.187859      232 0             328 0
 41 0             137 0             233 0             329 0
 42 0             138 0.00902367    234 0             330 0.206029
 43 0.0505127     139 0             235 0             331 0
 44 0             140 0             236 0             332 0.24047
 45 0             141 0             237 0             333 0
 46 0             142 0             238 0.105869      334 0.18979
 47 0             143 0             239 0             335 0
 48 0             144 0             240 0             336 0.292819
 49 0             145 0.306806      241 0             337 0.324742
 50 0.00573542    146 0             242 0             338 0
 51 0             147 0             243 0             339 0.14537
 52 0             148 0             244 0             340 0
 53 0.0938182     149 0             245 0.113155      341 0.236841
 54 0.238937      150 0             246 0             342 0.0724388
 55 0             151 0             247 0             343 0
 56 0             152 0             248 0             344 0
 57 0             153 0             249 0             345 0.084121
 58 0             154 0             250 0             346 0.0932121
 59 0             155 0.108877      251 0.323632      347 0
 60 0.0887694     156 0.301222      252 0             348 0
 61 0.148565      157 0             253 0             349 0
 62 0             158 0             254 0.179671      350 0.359416
 63 0.0737612     159 0             255 0             351 0.203593
 64 0             160 0             256 0.338033      352 0
 65 0             161 0             257 0.307963      353 0
 66 0.128145      162 0.00668651    258 0             354 0
 67 0.0899268     163 0.137359      259 0.332843      355 0
 68 0             164 0.0899112     260 0.174186      356 0
 69 0             165 0.262038      261 0             357 0
 70 0.148208      166 0.112853      262 0.124777      358 0.142712
 71 0             167 0             263 0             359 0.427256
 72 0.0946885     168 0             264 0             360 0
 73 0             169 0.185457      265 0.165796      361 0.0909817
 74 0             170 0             266 0             362 0
 75 0             171 0             267 0             363 0
 76 0             172 0             268 0             364 0.24153
 77 0.240686      173 0             269 0             365 0.200146
 78 0             174 0             270 0             366 0
 79 0             175 0             271 0             367 0.0371763
 80 0.0154111     176 0             272 0             368 0.0897543
 81 0             177 0             273 0.426366      369 0
 82 0             178 0             274 0             370 0
 83 0             179 0.048543      275 0.101286      371 0
 84 0             180 0             276 0             372 0
 85 0             181 0             277 0             373 0
 86 0             182 0             278 0             374 0.322043
 87 0.173207      183 0.13571       279 0             375 0
 88 0             184 0             280 0             376 0
 89 0.0300047     185 0             281 0             377 0
 90 0             186 0             282 0             378 0
 91 0             187 0             283 0.0739076     379 0
 92 0             188 0             284 0.111289      380 0
 93 0             189 0.0771722     285 0.192238      381 0.341489
 94 0.263156      190 0             286 0.0341366     382 0
 95 0             191 0             287 0             383 0
;

