CPLEX 20.1.0.0: optimal solution; objective 3.390832551
192 dual simplex iterations (0 in phase I)
x [*] :=
  0 0.0943269    125 0.059193     250 0            375 0
  1 0.195795     126 0            251 0            376 0
  2 0.280958     127 0            252 0            377 0
  3 0            128 0            253 0            378 0
  4 0.0957325    129 0            254 0            379 0
  5 0.00354752   130 0            255 0            380 0
  6 0.0629115    131 0            256 0            381 0
  7 0.0891126    132 0            257 0            382 0
  8 0.0867668    133 0            258 0            383 0
  9 0.104552     134 0            259 0            384 0
 10 0.110204     135 0            260 0            385 0
 11 0            136 0            261 0            386 0
 12 0.101556     137 0.00632728   262 0            387 0
 13 0            138 0            263 0            388 0
 14 0            139 0            264 0            389 0
 15 0            140 0            265 0            390 0
 16 0            141 0            266 0            391 0
 17 0            142 0            267 0            392 0
 18 0.0488334    143 0.0487893    268 0            393 0
 19 0.115204     144 0            269 0            394 0
 20 0            145 0            270 0            395 0
 21 0.0721571    146 0            271 0            396 0
 22 0            147 0            272 0            397 0
 23 0            148 0            273 0            398 0
 24 0.076816     149 0            274 0            399 0
 25 0.029713     150 0            275 0            400 0
 26 0.0603673    151 0            276 0            401 0
 27 0.169835     152 0            277 0            402 0
 28 0            153 0            278 0            403 0
 29 0            154 0            279 0            404 0
 30 0.199413     155 0            280 0            405 0
 31 0.0251842    156 0            281 0            406 0
 32 0            157 0            282 0            407 0
 33 0            158 0            283 0            408 0
 34 0            159 0            284 0            409 0
 35 0            160 0            285 0            410 0
 36 0.108919     161 0            286 0            411 0
 37 0            162 0            287 0            412 0
 38 0            163 0            288 0            413 0
 39 0.039129     164 0            289 0            414 0
 40 0.0445431    165 0            290 0            415 0
 41 0.17036      166 0            291 0            416 0
 42 0            167 0            292 0            417 0
 43 0            168 0            293 0            418 0
 44 0.12084      169 0            294 0            419 0
 45 0            170 0            295 0            420 0
 46 0            171 0            296 0            421 0
 47 0            172 0            297 0            422 0
 48 0            173 0            298 0            423 0
 49 0.0923608    174 0            299 0            424 0
 50 0            175 0            300 0            425 0
 51 0            176 0            301 0            426 0
 52 0            177 0            302 0            427 0
 53 0.032362     178 0            303 0            428 0
 54 0.00702729   179 0            304 0            429 0
 55 0.0278482    180 0            305 0            430 0
 56 0.0321971    181 0            306 0            431 0
 57 0            182 0            307 0            432 0
 58 0            183 0.0127923    308 0            433 0
 59 0.100397     184 0            309 0            434 0
 60 0.0580181    185 0            310 0            435 0
 61 0            186 0            311 0            436 0
 62 0            187 0            312 0            437 0
 63 0            188 0            313 0            438 0
 64 0            189 0            314 0            439 0
 65 0            190 0            315 0            440 0
 66 0            191 0            316 0            441 0
 67 0            192 0            317 0            442 0
 68 0            193 0            318 0            443 0
 69 0            194 0            319 0            444 0
 70 0            195 0            320 0            445 0
 71 0            196 0            321 0            446 0
 72 0            197 0            322 0            447 0
 73 0.0156751    198 0.0348178    323 0            448 0
 74 0.0493782    199 0            324 0            449 0
 75 0            200 0            325 0            450 0
 76 0            201 0            326 0            451 0
 77 0.00691921   202 0            327 0            452 0
 78 0.0295612    203 0            328 0            453 0
 79 0            204 0            329 0            454 0
 80 0.0732529    205 0            330 0            455 0
 81 0            206 0            331 0            456 0
 82 0            207 0            332 0            457 0
 83 0            208 0            333 0            458 0
 84 0            209 0            334 0            459 0
 85 0            210 0            335 0            460 0
 86 0            211 0            336 0            461 0
 87 0            212 0            337 0            462 0
 88 0.116329     213 0            338 0            463 0
 89 0            214 0            339 0            464 0
 90 0            215 0            340 0            465 0
 91 0            216 0            341 0            466 0
 92 0            217 0            342 0            467 0
 93 0            218 0            343 0            468 0
 94 0            219 0            344 0            469 0
 95 0            220 0            345 0            470 0
 96 0            221 0            346 0            471 0
 97 0            222 0            347 0            472 0
 98 0            223 0            348 0            473 0
 99 0            224 0            349 0            474 0
100 0            225 0            350 0            475 0
101 0            226 0            351 0            476 0
102 0            227 0            352 0            477 0
103 0            228 0            353 0            478 0
104 0            229 0            354 0            479 0
105 0            230 0            355 0            480 0
106 0            231 0            356 0            481 0
107 0            232 0            357 0            482 0
108 0            233 0            358 0            483 0
109 0            234 0            359 0            484 0
110 0            235 0            360 0            485 0
111 0            236 0            361 0            486 0
112 0            237 0            362 0            487 0
113 0            238 0            363 0            488 0
114 0            239 0            364 0            489 0
115 0            240 0            365 0            490 0
116 0            241 0            366 0            491 0
117 0            242 0            367 0            492 0
118 0            243 0            368 0            493 0
119 0            244 0.08081      369 0            494 0
120 0            245 0            370 0            495 0
121 0            246 0            371 0            496 0
122 0            247 0            372 0            497 0
123 0            248 0            373 0            498 0
124 0            249 0            374 0            499 0
;

