name,time,result,min k,m (true set),n (number of subsets)
h1,60,1,2,4,5
h1,600,1,2,4,5
h2,60,1,3,5,5
h2,600,1,3,5,5
h3,60,1,3,5,6
h3,600,1,3,5,6
h4,60,1,4,6,6
h4,600,1,4,6,6
h5,60,1,5,9,8
h5,600,1,5,9,8
r10,60,0,37,16,37
r10,600,0,37,16,37
r11,60,1,6,13,30
r11,600,1,6,13,30
r12,60,0,177,220,706
r12,600,0,177,220,706
r13,60,0,98,76,197
r13,600,0,98,76,197
r14,60,0,71,33,71
r14,600,0,71,33,71
r15,60,0,83,33,83
r15,600,0,41,33,83
r16,60,1,3,9,18
r16,600,1,3,9,18
r17,60,0,12,19,46
r17,600,0,8,19,46
r18,60,0,449,170,449
r18,600,0,449,170,449
r19,60,0,121,92,242
r19,600,0,121,92,242
r1,60,1,3,9,22
r1,600,1,3,9,22
r20,60,0,120,92,241
r20,600,0,120,92,241
r21,60,0,156,195,625
r21,600,0,156,195,625
r22,60,0,164,217,657
r22,600,0,164,217,657
r23,60,0,94,119,376
r23,600,0,94,119,376
r24,60,0,12,18,47
r24,600,1,6,18,47
r25,60,0,160,222,638
r25,600,0,160,222,638
r26,60,0,251,195,502
r26,600,0,251,195,502
r27,60,0,280,216,560
r27,600,0,280,216,560
r28,60,0,203,281,811
r28,600,0,203,281,811
r29,60,0,222,149,444
r29,600,0,222,149,444
r2,60,0,262,185,525
r2,600,0,262,185,525
r30,60,0,192,85,192
r30,600,0,192,85,192
r31,60,0,301,256,603
r31,600,0,301,256,603
r32,60,0,170,129,341
r32,600,0,170,129,341
r33,60,0,157,106,314
r33,600,0,157,106,314
r34,60,0,181,75,181
r34,600,0,181,75,181
r35,60,1,6,17,34
r35,600,1,6,17,34
r36,60,0,84,63,169
r36,600,0,84,63,169
r37,60,1,3,9,20
r37,600,1,3,9,20
r38,60,0,19,17,38
r38,600,1,6,17,38
r39,60,1,4,10,18
r39,600,1,4,10,18
r3,60,0,89,68,179
r3,600,0,89,68,179
r40,60,0,232,281,926
r40,600,0,232,281,926
r41,60,0,40,31,81
r41,600,0,40,31,81
r42,60,0,330,229,660
r42,600,0,330,229,660
r43,60,1,4,12,31
r43,600,1,4,12,31
r44,60,1,4,12,27
r44,600,1,4,12,27
r45,60,0,327,221,654
r45,600,0,327,221,654
r46,60,0,192,162,384
r46,600,0,192,162,384
r47,60,0,285,222,570
r47,600,0,285,222,570
r48,60,0,259,101,259
r48,600,0,259,101,259
r49,60,1,4,13,36
r49,600,1,4,13,36
r4,60,0,65,33,65
r4,600,0,65,33,65
r50,60,1,5,17,44
r50,600,1,5,17,44
r5,60,0,166,206,664
r5,600,0,166,206,664
r6,60,1,6,18,44
r6,600,1,6,18,44
r7,60,0,230,91,230
r7,600,0,230,91,230
r8,60,1,4,10,25
r8,600,1,4,10,25
r9,60,1,3,10,23
r9,600,1,3,10,23
scp41,60,0,500,200,1000
scp41,600,0,500,200,1000
scp42,60,0,500,200,1000
scp42,600,0,500,200,1000
scp43,60,0,500,200,1000
scp43,600,0,500,200,1000
scp44,60,0,500,200,1000
scp44,600,0,500,200,1000
scp45,60,0,500,200,1000
scp45,600,0,500,200,1000
scp46,60,0,500,200,1000
scp46,600,0,500,200,1000
scp47,60,0,250,200,1000
scp47,600,0,250,200,1000
scp48,60,0,500,200,1000
scp48,600,0,500,200,1000
scp49,60,0,500,200,1000
scp49,600,0,500,200,1000
scp51,60,0,500,200,2000
scp51,600,0,500,200,2000
scp52,60,0,500,200,2000
scp52,600,0,500,200,2000
scp53,60,0,500,200,2000
scp53,600,0,500,200,2000
scp54,60,0,250,200,2000
scp54,600,0,250,200,2000
scp55,60,0,250,200,2000
scp55,600,0,250,200,2000
scp56,60,0,250,200,2000
