name,time,result,min k,m (true set),n (number of subsets)
h1,600,1,2,4,5
h2,600,1,3,5,5
h3,600,1,3,5,6
h4,600,1,4,6,6
h5,600,1,5,9,8
r10,600,1,7,16,37
r11,600,1,6,13,30
r12,600,1,28,220,706
r13,600,1,18,76,197
r14,600,1,11,33,71
r15,600,1,10,33,83
r16,600,1,4,9,18
r17,600,1,8,19,46
r18,600,1,27,170,449
r19,600,1,21,92,242
r1,600,1,3,9,22
r20,600,1,21,92,241
r21,600,1,27,195,625
r22,600,1,29,217,657
r23,600,1,23,119,376
r24,600,1,7,18,47
r25,600,1,29,222,638
r26,600,1,27,195,502
r27,600,1,31,216,560
r28,600,1,32,281,811
r29,600,1,25,149,444
r2,600,1,26,185,525
r30,600,1,19,85,192
r31,600,1,34,256,603
r32,600,1,21,129,341
r33,600,1,22,106,314
r34,600,1,18,75,181
r35,600,1,6,17,34
r36,600,1,15,63,169
r37,600,1,3,9,20
r38,600,1,8,17,38
r39,600,1,4,10,18
r3,600,1,17,68,179
r40,600,1,31,281,926
r41,600,1,12,31,81
r42,600,1,29,229,660
r43,600,1,4,12,31
r44,600,1,4,12,27
r45,600,1,28,221,654
r46,600,1,25,162,384
r47,600,1,28,222,570
r48,600,1,20,101,259
r49,600,1,4,13,36
r4,600,1,10,33,65
r50,600,1,6,17,44
r5,600,1,29,206,664
r6,600,1,6,18,44
r7,600,1,20,91,230
r8,600,1,4,10,25
r9,600,1,4,10,23
scp41,600,1,41,200,1000
scp42,600,1,41,200,1000
scp43,600,1,43,200,1000
scp44,600,1,44,200,1000
scp45,600,1,44,200,1000
scp46,600,1,43,200,1000
scp47,600,1,43,200,1000
scp48,600,1,42,200,1000
scp49,600,1,42,200,1000
scp51,600,1,37,200,2000
scp52,600,1,38,200,2000
scp53,600,1,37,200,2000
scp54,600,1,39,200,2000
scp55,600,1,37,200,2000
scp56,600,1,40,200,2000
scp57,600,1,38,200,2000
scp58,600,1,39,200,2000
scp59,600,1,38,200,2000
scp61,600,1,23,200,1000
scp62,600,1,22,200,1000
scp63,600,1,23,200,1000
scpa1,600,1,42,300,3000
scpa2,600,1,42,300,3000
scpa3,600,1,43,300,3000
scpa4,600,1,41,300,3000
scpa5,600,1,43,300,3000
scpb1,600,1,24,300,3000
scpb2,600,1,23,300,3000
scpb3,600,1,23,300,3000
scpb4,600,1,24,300,3000
scpb5,600,1,25,300,3000
scpc1,600,1,47,400,4000
scpc2,600,1,47,400,4000
scpc3,600,1,47,400,4000
scpc4,600,1,46,400,4000
scpc5,600,1,47,400,4000
scpd1,600,1,27,400,4000
scpd2,600,1,26,400,4000
scpd3,600,1,27,400,4000
scpd4,600,1,26,400,4000
scpd5,600,1,27,400,4000
scpe1,600,1,5,50,500
scpe2,600,1,5,50,500
scpe3,600,1,5,50,500
scpe4,600,1,6,50,500
scpe5,600,1,5,50,500
