name,time,result,min k,m (true set),n (number of subsets)
h1,60,1,2,4,5
h1,600,1,2,4,5
h2,60,1,3,5,5
h2,600,1,3,5,5
h3,60,1,3,5,6
h3,600,1,3,5,6
h4,60,1,4,6,6
h4,600,1,4,6,6
h5,60,1,5,9,8
h5,600,1,5,9,8
r10,60,0,258,3240,258
r10,600,0,258,3240,258
r11,60,0,187,8450,749
r11,600,0,187,8450,749
r12,60,1,9,140,10
r12,600,1,9,140,10
r13,60,1,11,150,12
r13,600,1,11,150,12
r14,60,0,234,5650,469
r14,600,0,234,5650,469
r15,60,0,222,9850,888
r15,600,0,222,9850,888
r16,60,0,152,3850,304
r16,600,0,152,3850,304
r17,60,0,53,790,53
r17,600,0,53,790,53
r18,60,1,12,140,12
r18,600,1,12,140,12
r19,60,1,10,150,11
r19,600,1,10,150,11
r1,60,1,9,100,9
r1,600,1,9,100,9
r20,60,1,9,130,10
r20,600,1,9,130,10
r21,60,0,63,760,63
r21,600,0,63,760,63
r22,60,0,361,4510,361
r22,600,0,361,4510,361
r23,60,0,248,5690,497
r23,600,0,248,5690,497
r24,60,1,7,370,7
r24,600,1,7,370,7
r25,60,0,236,3160,236
r25,600,0,236,3160,236
r26,60,0,33,560,33
r26,600,0,33,560,33
r27,60,0,36,1150,36
r27,600,0,36,1150,36
r28,60,1,10,140,11
r28,600,1,10,140,11
r29,60,0,61,950,61
r29,600,0,61,950,61
r2,60,0,330,4110,330
r2,600,0,330,4110,330
r30,60,0,215,3020,215
r30,600,0,215,3020,215
r31,60,0,199,8740,796
r31,600,0,199,8740,796
r32,60,1,9,120,9
r32,600,1,9,120,9
r33,60,1,9,330,9
r33,600,1,9,330,9
r34,60,1,8,210,8
r34,600,1,8,210,8
r35,60,1,9,120,9
r35,600,1,9,120,9
r36,60,0,48,590,48
r36,600,0,48,590,48
r37,60,0,135,6260,539
r37,600,0,135,6260,539
r38,60,1,11,300,12
r38,600,1,11,300,12
r39,60,0,199,8430,795
r39,600,0,199,8430,795
r3,60,0,221,4970,443
r3,600,0,221,4970,443
r40,60,0,46,550,46
r40,600,0,46,550,46
r41,60,0,51,710,51
r41,600,0,51,710,51
r42,60,1,10,150,12
r42,600,1,10,150,12
r43,60,0,121,2090,121
r43,600,0,121,2090,121
r44,60,1,14,270,15
r44,600,1,14,270,15
r45,60,0,221,2700,221
r45,600,0,221,2700,221
r46,60,1,5,110,5
r46,600,1,5,110,5
r47,60,0,135,1810,135
r47,600,0,135,1810,135
r48,60,0,234,5590,469
r48,600,0,234,5590,469
r49,60,0,194,8450,775
r49,600,0,194,8450,775
r4,60,0,63,830,63
r4,600,0,63,830,63
r50,60,0,235,5240,470
r50,600,0,235,5240,470
r5,60,1,11,130,11
r5,600,1,11,130,11
r6,60,0,68,1490,68
r6,600,0,68,1490,68
r7,60,0,86,980,86
r7,600,0,86,980,86
r8,60,1,7,110,7
r8,600,1,7,110,7
r9,60,0,168,4110,337
r9,600,0,168,4110,337
scp41,60,0,500,200,1000
scp41,600,0,500,200,1000
scp42,60,0,500,200,1000
scp42,600,0,500,200,1000
scp43,60,0,500,200,1000
scp43,600,0,500,200,1000
scp44,60,0,500,200,1000
scp44,600,0,500,200,1000
scp45,60,0,500,200,1000
scp45,600,0,500,200,1000
scp46,60,0,500,200,1000
scp46,600,0,500,200,1000
scp47,60,0,250,200,1000
scp47,600,0,250,200,1000
scp48,60,0,500,200,1000
scp48,600,0,500,200,1000
scp49,60,0,500,200,1000
scp49,600,0,500,200,1000
scp51,60,0,500,200,2000
scp51,600,0,500,200,2000
scp52,60,0,500,200,2000
scp52,600,0,500,200,2000
scp53,60,0,500,200,2000
scp53,600,0,500,200,2000
scp54,60,0,250,200,2000
scp54,600,0,250,200,2000
