name,time,result,min k,runtime,iterations,m (true set),n (number of subsets)
h1,60,1,2,0.271993,0,4,5
h1,600,1,2,0.25023360000000006,0,4,5
h2,60,1,3,0.2563252,0,5,5
h2,600,1,3,0.24736149999999996,0,5,5
h3,60,1,3,0.25185000000000013,0,5,6
h3,600,1,3,0.250182,0,5,6
h4,60,1,4,0.2668028,0,6,6
h4,600,1,4,0.2438749,0,6,6
h5,60,1,5,0.2605394999999999,1,9,8
h5,600,1,5,0.2352383,1,9,8
r10,60,1,7,0.29073280000000024,1,16,37
r10,600,1,7,0.2698311,1,16,37
r11,60,1,6,0.26824470000000034,1,13,30
r11,600,1,6,0.2461287000000003,1,13,30
r12,60,1,28,4.020024599999999,0,220,706
r12,600,1,28,3.736243,0,220,706
r13,60,1,18,0.6651819000000003,1,76,197
r13,600,1,18,0.6157888000000007,1,76,197
r14,60,1,11,0.2707185999999995,0,33,71
r14,600,1,11,0.26245100000000043,0,33,71
r15,60,1,9,0.30202799999999996,2,33,83
r15,600,1,9,0.2818870000000002,2,33,83
r16,60,1,3,0.27183569999999957,1,9,18
r16,600,1,3,0.24146279999999987,1,9,18
r17,60,1,8,0.30332200000000054,0,19,46
r17,600,1,8,0.2539926000000001,0,19,46
r18,60,1,27,3.3657266999999997,1,170,449
r18,600,1,27,3.0802635,1,170,449
r19,60,1,21,0.9569766000000008,1,92,242
r19,600,1,21,0.8861460000000001,1,92,242
r1,60,1,3,0.2779345,1,9,22
r1,600,1,3,0.24185909999999988,1,9,22
r20,60,1,21,0.905190600000001,1,92,241
r20,600,1,21,0.8886271000000008,1,92,241
r21,60,1,27,5.5505773000000005,1,195,625
r21,600,1,27,5.384972700000002,1,195,625
r22,60,1,29,3.641299700000001,0,217,657
r22,600,1,29,3.435844499999998,0,217,657
r23,60,1,23,1.1329835999999993,0,119,376
r23,600,1,23,1.0698212999999974,0,119,376
r24,60,1,7,0.2598848999999994,0,18,47
r24,600,1,7,0.24992569999999859,0,18,47
r25,60,1,29,6.452877199999996,1,222,638
r25,600,1,29,6.317584200000002,1,222,638
r26,60,1,27,4.014973599999998,1,195,502
r26,600,1,27,3.9772145000000023,1,195,502
r27,60,1,30,4.248665800000005,1,216,560
r27,600,1,30,4.3752515000000045,1,216,560
r28,60,1,32,11.669630699999999,1,281,811
r28,600,1,32,11.161251100000001,1,281,811
r29,60,1,25,2.9710516999999967,1,149,444
r29,600,1,25,2.7278775000000053,1,149,444
r2,60,1,26,4.165082900000002,1,185,525
r2,600,1,26,3.960738000000001,1,185,525
r30,60,1,19,0.7273441000000034,1,85,192
r30,600,1,19,0.6359701000000015,1,85,192
r31,60,1,34,4.2416113999999965,0,256,603
r31,600,1,34,3.8524022999999943,0,256,603
r32,60,1,21,1.5523674000000014,1,129,341
r32,600,1,21,1.4925637999999992,1,129,341
r33,60,1,22,0.8376694999999899,0,106,314
r33,600,1,22,0.8007035999999985,0,106,314
r34,60,1,18,0.6217919999999992,1,75,181
r34,600,1,18,0.5861250000000027,1,75,181
r35,60,1,6,0.2722904000000028,1,17,34
r35,600,1,6,0.25282359999999926,1,17,34
r36,60,1,15,0.3931467000000026,0,63,169
r36,600,1,15,0.363831900000001,0,63,169
r37,60,1,3,0.28207810000000677,1,9,20
r37,600,1,3,0.2382929000000047,1,9,20
r38,60,1,8,0.2521456999999998,0,17,38
r38,600,1,8,0.25308450000000704,0,17,38
r39,60,1,4,0.24865150000000824,1,10,18
r39,600,1,4,0.2736303999999876,1,10,18
r3,60,1,17,0.4569161000000008,0,68,179
r3,600,1,17,0.418694600000002,0,68,179
r40,60,1,31,14.00076580000001,1,281,926
r40,600,1,31,13.491075299999991,1,281,926
r41,60,1,12,0.27769689999999514,0,31,81
r41,600,1,12,0.2824166000000048,0,31,81
r42,60,1,29,6.839324099999999,1,229,660
r42,600,1,29,6.709964499999998,1,229,660
r43,60,1,4,0.2417906999999957,0,12,31
r43,600,1,4,0.2470591000000013,0,12,31
r44,60,1,4,0.24005269999999257,0,12,27
r44,600,1,4,0.24565379999999948,0,12,27
r45,60,1,28,6.459887099999989,1,221,654
