name,m,n,lp_result,lp_mink,gr_time,gr_result,gr_mink,gap,gap_percent,group
h1,4,5,1,2.0,600,1,2,0.0,0.0,1
h2,5,5,1,3.0,600,1,3,0.0,0.0,1
h3,5,6,1,3.0,600,1,3,0.0,0.0,1
h4,6,6,1,3.333333333,600,1,4,0.6666666669999999,20.000000011999997,1
h5,9,8,1,5.0,600,1,5,0.0,0.0,1
r10,16,37,1,4.857142857,600,1,7,2.1428571429999996,44.11764706306227,2
r11,13,30,1,5.25,600,1,6,0.75,14.285714285714286,2
r13,76,197,1,14.34838844,600,1,18,3.651611559999999,25.449628543789263,2
r14,33,71,1,8.447368421,600,1,11,2.552631579,30.21806853663687,2
r15,33,83,1,7.864321608,600,1,10,2.135678392,27.156549521416775,2
r16,9,18,1,3.0,600,1,4,1.0,33.333333333333336,2
r17,19,46,1,6.5,600,1,8,1.5,23.076923076923077,2
r18,170,449,1,18.42838888,600,1,27,8.57161112,46.513079226923715,2
r19,92,242,1,15.28146983,600,1,21,5.718530169999999,37.42133599461485,2
r1,9,22,1,3.0,600,1,3,0.0,0.0,2
r20,92,241,1,14.87654492,600,1,21,6.123455079999999,41.16180949897605,2
r23,119,376,1,16.23275893,600,1,23,6.767241070000001,41.68879177706116,2
r24,18,47,1,5.444444444,600,1,7,1.5555555559999998,28.571428581924195,2
r29,149,444,1,17.712526,600,1,25,7.287474,41.143053226852,2
r30,85,192,1,14.55750034,600,1,19,4.442499659999999,30.5169126308947,2
r32,129,341,1,15.78557758,600,1,21,5.21442242,33.03282628445959,2
r33,106,314,1,15.86917163,600,1,22,6.13082837,38.63357529267581,2
r34,75,181,1,13.9838463,600,1,18,4.0161537,28.719950247164835,2
r35,17,34,1,5.0,600,1,6,1.0,20.0,2
r36,63,169,1,10.83516952,600,1,15,4.164830479999999,38.4380740173228,2
r37,9,20,1,3.0,600,1,3,0.0,0.0,2
r38,17,38,1,6.0,600,1,8,2.0,33.333333333333336,2
r39,10,18,1,4.0,600,1,4,0.0,0.0,2
r3,68,179,1,12.96962571,600,1,17,4.030374289999999,31.07548652612581,2
r41,31,81,1,7.714285714,600,1,12,4.285714286,55.55555556131687,2
r43,12,31,1,3.4,600,1,4,0.6000000000000001,17.647058823529413,2
r44,12,27,1,3.833333333,600,1,4,0.16666666699999988,4.347826096030242,2
r46,162,384,1,18.02095406,600,1,25,6.979045939999999,38.72739432531464,2
r48,101,259,1,14.3794354,600,1,20,5.6205646,39.087519388974066,2
r49,13,36,1,4.0,600,1,4,0.0,0.0,2
r4,33,65,1,8.5,600,1,10,1.5,17.647058823529413,2
r50,17,44,1,4.714285714,600,1,6,1.2857142860000002,27.272727280440776,2
r6,18,44,1,5.0,600,1,6,1.0,20.0,2
r7,91,230,1,15.791211,600,1,20,4.2087889999999994,26.652731066667396,2
r8,10,25,1,3.5,600,1,4,0.5,14.285714285714286,2
r9,10,23,1,3.0,600,1,4,1.0,33.333333333333336,2
scpe1,50,500,1,3.47949159,600,1,5,1.5205084100000001,43.69915462275913,3
scpe2,50,500,1,3.382076321,600,1,5,1.617923679,47.83817765891274,3
scpe3,50,500,1,3.298903245,600,1,5,1.701096755,51.56552431715833,3
scpe4,50,500,1,3.453984623,600,1,6,2.546015377,73.71241203698897,3
scpe5,50,500,1,3.390832551,600,1,5,1.609167449,47.45641150948123,3
